代码,简称,日期,复权净值(元),
000042.OF,财通中证100指数增强A,2020-10-09,2.294,
000042.OF,财通中证100指数增强A,2020-10-12,2.3508,
000042.OF,财通中证100指数增强A,2020-10-13,2.3572,
000042.OF,财通中证100指数增强A,2020-10-14,2.3397,
000042.OF,财通中证100指数增强A,2020-10-15,2.3399,
000042.OF,财通中证100指数增强A,2020-10-16,2.3415,
000042.OF,财通中证100指数增强A,2020-10-19,2.3236,
000042.OF,财通中证100指数增强A,2020-10-20,2.3429,
000042.OF,财通中证100指数增强A,2020-10-21,2.3385,
000042.OF,财通中证100指数增强A,2020-10-22,2.3375,
000042.OF,财通中证100指数增强A,2020-10-23,2.3119,
000042.OF,财通中证100指数增强A,2020-10-26,2.3065,
000042.OF,财通中证100指数增强A,2020-10-27,2.3053,
000042.OF,财通中证100指数增强A,2020-10-28,2.3257,
000042.OF,财通中证100指数增强A,2020-10-29,2.3527,
000042.OF,财通中证100指数增强A,2020-10-30,2.3097,
000042.OF,财通中证100指数增强A,2020-11-02,2.3255,
000042.OF,财通中证100指数增强A,2020-11-03,2.3519,
000042.OF,财通中证100指数增强A,2020-11-04,2.3735,
000042.OF,财通中证100指数增强A,2020-11-05,2.4193,
000042.OF,财通中证100指数增强A,2020-11-06,2.4248,
000042.OF,财通中证100指数增强A,2020-11-09,2.4634,
000042.OF,财通中证100指数增强A,2020-11-10,2.4431,
000042.OF,财通中证100指数增强A,2020-11-11,2.4247,
000042.OF,财通中证100指数增强A,2020-11-12,2.4362,
000042.OF,财通中证100指数增强A,2020-11-13,2.4165,
000042.OF,财通中证100指数增强A,2020-11-16,2.4415,
000042.OF,财通中证100指数增强A,2020-11-17,2.4448,
000042.OF,财通中证100指数增强A,2020-11-18,2.4573,
000042.OF,财通中证100指数增强A,2020-11-19,2.4624,
000042.OF,财通中证100指数增强A,2020-11-20,2.4779,
000042.OF,财通中证100指数增强A,2020-11-23,2.5125,
000042.OF,财通中证100指数增强A,2020-11-24,2.5039,
000042.OF,财通中证100指数增强A,2020-11-25,2.4761,
000042.OF,财通中证100指数增强A,2020-11-26,2.4731,
000042.OF,财通中证100指数增强A,2020-11-27,2.5008,
000042.OF,财通中证100指数增强A,2020-11-30,2.4975,
000042.OF,财通中证100指数增强A,2020-12-01,2.5387,
000042.OF,财通中证100指数增强A,2020-12-02,2.5414,
000042.OF,财通中证100指数增强A,2020-12-03,2.523,
000042.OF,财通中证100指数增强A,2020-12-04,2.5191,
000042.OF,财通中证100指数增强A,2020-12-07,2.4941,
000042.OF,财通中证100指数增强A,2020-12-08,2.4917,
000042.OF,财通中证100指数增强A,2020-12-09,2.4511,
000042.OF,财通中证100指数增强A,2020-12-10,2.4426,
000042.OF,财通中证100指数增强A,2020-12-11,2.42,
000042.OF,财通中证100指数增强A,2020-12-14,2.4318,
000042.OF,财通中证100指数增强A,2020-12-15,2.446,
000042.OF,财通中证100指数增强A,2020-12-16,2.4448,
000042.OF,财通中证100指数增强A,2020-12-17,2.4739,
000042.OF,财通中证100指数增强A,2020-12-18,2.4788,
000042.OF,财通中证100指数增强A,2020-12-21,2.5006,
000042.OF,财通中证100指数增强A,2020-12-22,2.4445,
000042.OF,财通中证100指数增强A,2020-12-23,2.4724,
000042.OF,财通中证100指数增强A,2020-12-24,2.4601,
000042.OF,财通中证100指数增强A,2020-12-25,2.4918,
000042.OF,财通中证100指数增强A,2020-12-28,2.5064,
000042.OF,财通中证100指数增强A,2020-12-29,2.4857,
000042.OF,财通中证100指数增强A,2020-12-30,2.5221,
000042.OF,财通中证100指数增强A,2020-12-31,2.5701,
000042.OF,财通中证100指数增强A,2021-01-04,2.5953,
000042.OF,财通中证100指数增强A,2021-01-05,2.6272,
000042.OF,财通中证100指数增强A,2021-01-06,2.6428,
000042.OF,财通中证100指数增强A,2021-01-07,2.691,
000042.OF,财通中证100指数增强A,2021-01-08,2.7127,
000042.OF,财通中证100指数增强A,2021-01-11,2.6952,
000042.OF,财通中证100指数增强A,2021-01-12,2.7546,
000042.OF,财通中证100指数增强A,2021-01-13,2.7596,
000042.OF,财通中证100指数增强A,2021-01-14,2.7143,
000042.OF,财通中证100指数增强A,2021-01-15,2.6982,
000042.OF,财通中证100指数增强A,2021-01-18,2.734,
000042.OF,财通中证100指数增强A,2021-01-19,2.6992,
000042.OF,财通中证100指数增强A,2021-01-20,2.7178,
000042.OF,财通中证100指数增强A,2021-01-21,2.7587,
000042.OF,财通中证100指数增强A,2021-01-22,2.7609,
000042.OF,财通中证100指数增强A,2021-01-25,2.768,
000042.OF,财通中证100指数增强A,2021-01-26,2.7267,
000042.OF,财通中证100指数增强A,2021-01-27,2.7342,
000042.OF,财通中证100指数增强A,2021-01-28,2.6559,
000042.OF,财通中证100指数增强A,2021-01-29,2.6488,
000042.OF,财通中证100指数增强A,2021-02-01,2.6819,
000042.OF,财通中证100指数增强A,2021-02-02,2.7157,
000042.OF,财通中证100指数增强A,2021-02-03,2.7083,
000042.OF,财通中证100指数增强A,2021-02-04,2.6924,
000042.OF,财通中证100指数增强A,2021-02-05,2.6777,
000042.OF,财通中证100指数增强A,2021-02-08,2.7265,
000042.OF,财通中证100指数增强A,2021-02-09,2.7893,
000042.OF,财通中证100指数增强A,2021-02-10,2.8295,
000042.OF,财通中证100指数增强A,2021-02-18,2.8365,
000042.OF,财通中证100指数增强A,2021-02-19,2.8523,
000042.OF,财通中证100指数增强A,2021-02-22,2.798,
000042.OF,财通中证100指数增强A,2021-02-23,2.7873,
000042.OF,财通中证100指数增强A,2021-02-24,2.728,
000042.OF,财通中证100指数增强A,2021-02-25,2.7429,
000042.OF,财通中证100指数增强A,2021-02-26,2.6854,
000042.OF,财通中证100指数增强A,2021-03-01,2.7372,
000042.OF,财通中证100指数增强A,2021-03-02,2.7061,
000042.OF,财通中证100指数增强A,2021-03-03,2.7609,
000042.OF,财通中证100指数增强A,2021-03-04,2.6834,
000042.OF,财通中证100指数增强A,2021-03-05,2.6705,
000042.OF,财通中证100指数增强A,2021-03-08,2.6042,
000042.OF,财通中证100指数增强A,2021-03-09,2.5567,
000042.OF,财通中证100指数增强A,2021-03-10,2.5561,
000042.OF,财通中证100指数增强A,2021-03-11,2.6166,
000042.OF,财通中证100指数增强A,2021-03-12,2.6396,
000042.OF,财通中证100指数增强A,2021-03-15,2.6004,
000042.OF,财通中证100指数增强A,2021-03-16,2.6218,
000042.OF,财通中证100指数增强A,2021-03-17,2.6327,
000042.OF,财通中证100指数增强A,2021-03-18,2.6544,
000042.OF,财通中证100指数增强A,2021-03-19,2.5999,
000042.OF,财通中证100指数增强A,2021-03-22,2.6418,
000042.OF,财通中证100指数增强A,2021-03-23,2.6142,
000042.OF,财通中证100指数增强A,2021-03-24,2.5649,
000042.OF,财通中证100指数增强A,2021-03-25,2.5686,
000042.OF,财通中证100指数增强A,2021-03-26,2.6356,
