,index,000905.XSHG,000300.XSHG
0,2020-10-09,6357.97,4681.14
1,2020-10-12,6541.18,4823.16
2,2020-10-13,6551.4,4839.2
3,2020-10-14,6508.37,4807.1
4,2020-10-15,6460.04,4798.74
5,2020-10-16,6428.68,4791.68
6,2020-10-19,6358.32,4755.49
7,2020-10-20,6423.11,4793.47
8,2020-10-21,6350.01,4792.83
9,2020-10-22,6317.14,4777.98
10,2020-10-23,6213.26,4718.49
11,2020-10-26,6214.38,4691.24
12,2020-10-27,6221.34,4699.28
13,2020-10-28,6246.0,4737.27
14,2020-10-29,6255.19,4772.92
15,2020-10-30,6111.48,4695.33
16,2020-11-02,6143.12,4720.83
17,2020-11-03,6241.77,4777.56
18,2020-11-04,6234.16,4813.66
19,2020-11-05,6351.98,4885.11
20,2020-11-06,6301.25,4885.72
21,2020-11-09,6421.65,4981.35
22,2020-11-10,6373.09,4953.88
23,2020-11-11,6294.61,4904.9
24,2020-11-12,6315.49,4908.46
25,2020-11-13,6306.97,4856.85
26,2020-11-16,6387.37,4904.17
27,2020-11-17,6336.94,4894.79
28,2020-11-18,6341.01,4891.67
29,2020-11-19,6360.6,4927.99
30,2020-11-20,6422.99,4943.29
31,2020-11-23,6472.93,5005.03
32,2020-11-24,6475.19,4974.29
33,2020-11-25,6350.37,4910.7
34,2020-11-26,6334.3,4919.59
35,2020-11-27,6351.61,4980.77
36,2020-11-30,6320.94,4960.25
37,2020-12-01,6426.62,5067.1
38,2020-12-02,6434.98,5067.14
39,2020-12-03,6440.88,5057.06
40,2020-12-04,6464.73,5065.92
41,2020-12-07,6424.68,5022.24
42,2020-12-08,6423.65,5009.88
43,2020-12-09,6307.22,4942.7
44,2020-12-10,6320.1,4940.52
45,2020-12-11,6209.43,4889.63
46,2020-12-14,6259.02,4934.84
47,2020-12-15,6265.58,4945.1
48,2020-12-16,6235.44,4953.87
49,2020-12-17,6308.9,5017.48
50,2020-12-18,6291.92,4999.97
51,2020-12-21,6398.6,5046.84
52,2020-12-22,6250.06,4964.77
53,2020-12-23,6307.6,5007.12
54,2020-12-24,6205.22,5000.02
55,2020-12-25,6278.5,5042.01
56,2020-12-28,6244.48,5064.41
57,2020-12-29,6199.85,5042.94
58,2020-12-30,6269.25,5113.71
59,2020-12-31,6367.11,5211.29
60,2021-01-04,6482.79,5267.72
